Ссылка,Цена(BYN),Цена(USD),Тип двигателя,Объем,Пробег,Год выпуска
https://cars.av.by/audi/a8/102201530,80907,27500,дизель,3.0,181000,2010
https://cars.av.by/audi/a8/100698650,82378,28000,бензин,3.0,205000,2013
https://cars.av.by/audi/a8/101345460,82378,28000,бензин,6.3,190563,2012
https://cars.av.by/audi/a8/100567706,85320,29000,бензин,3.0,170000,2014
https://cars.av.by/audi/a8/104286698,86497,29400,дизель,4.1,163100,2013
https://cars.av.by/audi/a8/103593294,87527,29750,бензин,4.0,258000,2014
https://cars.av.by/audi/a8/101359099,87968,29900,дизель,3.0,159500,2010
https://cars.av.by/audi/a8/103523269,88263,30000,бензин,4.0,260000,2013
https://cars.av.by/audi/a8/102580865,91205,31000,бензин,3.0,173600,2014
https://cars.av.by/audi/a8/102072959,94147,32000,бензин,4.0,148000,2014
https://cars.av.by/audi/a8/103532084,102679,34900,дизель,3.0,167000,2014
https://cars.av.by/audi/a8/103323720,105915,36000,дизель,3.0,238000,2015
https://cars.av.by/audi/a8/104030746,107386,36500,бензин,4.0,163000,2015
https://cars.av.by/audi/a8/103847076,112926,38383,дизель,3.0,173150,2015
https://cars.av.by/audi/a8/103965161,122097,41500,бензин,4.0,155000,2014
https://cars.av.by/audi/a8/100267623,123568,42000,бензин,3.0,170000,2015
https://cars.av.by/audi/a8/104292604,182410,62000,бензин,3.0,188000,2018
https://cars.av.by/audi/a8/103892774,185058,62900,дизель,3.0,165000,2018
https://cars.av.by/audi/a8/103522845,191233,64999,дизель,3.0,170000,2018
https://cars.av.by/audi/a8/104308311,191236,65000,дизель,3.0,99000,2018
https://cars.av.by/audi/a8/104098485,191824,65200,дизель,3.0,112460,2019
https://cars.av.by/audi/a8/103925011,199915,67950,дизель,3.0,76000,2019
https://cars.av.by/audi/a8/104324751,200062,68000,дизель,3.0,77000,2019
https://cars.av.by/audi/a8/104324874,203001,68999,дизель,3.0,39648,2018
https://cars.av.by/audi/a8/103531792,204475,69500,бензин,3.0,44000,2019
https://cars.av.by/audi/a8/104317717,214773,73000,дизель,3.0,58000,2019
https://cars.av.by/audi/a8/101573083,214773,73000,дизель,3.0,126000,2018
https://cars.av.by/audi/a8/100924872,214773,73000,бензин,3.0,137000,2018
https://cars.av.by/audi/a8/102061401,214773,73000,дизель,3.0,166000,2017
https://cars.av.by/audi/a8/103959781,216241,73499,дизель,3.0,39800,2020
https://cars.av.by/audi/a8/104119331,229483,78000,дизель,3.0,33811,2019
https://cars.av.by/audi/a8/104004493,235073,79900,дизель,3.0,35500,2019
https://cars.av.by/audi/a8/104321602,235368,80000,бензин,3.0,85000,2018
https://cars.av.by/audi/a8/103729918,255962,87000,бензин,3.0,185000,2018
https://cars.av.by/audi/a8/101653344,260375,88500,дизель,3.0,46000,2019
https://cars.av.by/audi/a8/101787255,264789,90000,бензин,3.0,128000,2019
https://cars.av.by/audi/a8/103619873,294210,100000,бензин,3.0,62400,2018
https://cars.av.by/audi/a8/103758239,320688,109000,бензин,4.0,64252,2019
